City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,carnarvon,-24.8667,113.6333,73.65,79,2,17.36,AU,1700370066
179,angaur state,6.906,134.13,84.65,77,94,16.89,PW,1700370066
180,maraba,-5.3686,-49.1178,78.98,89,100,0.0,BR,1700370067
181,northam,51.0333,-4.2167,57.65,89,34,36.8,GB,1700370067
182,isafjordur,66.0755,-23.124,40.95,79,100,3.04,IS,1700370067
183,pont rouge,48.8833,-72.0825,25.09,89,74,4.72,CA,1700370068
184,aweil,8.7682,27.4002,77.58,72,94,1.9,SS,1700370009
185,san patricio,28.017,-97.5169,69.66,83,38,5.01,US,1700370069
186,pulaski,34.7668,-92.3001,51.84,65,0,2.33,US,1700370069
187,martapura,-3.4167,114.85,89.69,62,40,11.5,ID,1700370070
188,bratsk,56.1325,101.6142,37.89,74,100,11.61,RU,1700369956
189,bandarbeyla,9.4942,50.8122,81.93,69,75,13.13,SO,1700370071
190,itarantim,-15.6597,-40.0656,67.64,97,11,2.82,BR,1700370071
191,san antonio de pale,-1.4014,5.6325,77.02,92,100,10.45,GQ,1700370072
192,vila franca do campo,37.7167,-25.4333,65.88,99,67,13.76,PT,1700370072
193,tura,25.5198,90.2201,77.45,61,1,6.76,IN,1700370073
194,horta,38.5333,-28.6333,58.01,73,56,8.99,PT,1700370073
195,zykovo,55.9519,93.1461,54.34,57,81,29.59,RU,1700370073
196,el progreso,15.4,-87.8,72.61,94,20,5.75,HN,1700369982
197,praia da vitoria,38.7333,-27.0667,61.05,77,40,13.18,PT,1700370074
198,mount isa,-20.7333,139.5,83.97,42,59,21.85,AU,1700370075
199,joshimath,30.5667,79.5667,65.89,21,0,5.86,IN,1700370075
200,st. john's,47.5649,-52.7093,53.67,94,100,25.32,CA,1700370055
201,saldanha,-33.0117,17.9442,59.05,85,100,5.66,ZA,1700370076
202,tangalle,6.024,80.7911,82.56,70,92,4.79,LK,1700369912
203,saint-joseph,-21.3667,55.6167,76.48,60,0,7.65,RE,1700370077
204,kone,-21.0595,164.8658,80.83,63,30,7.36,NC,1700370078
205,harstad,68.799,16.5293,29.16,94,100,5.01,NO,1700370078
206,vadso,70.0744,29.7487,17.76,86,40,9.22,NO,1700370079
207,hermanus,-34.4187,19.2345,65.44,71,100,4.5,ZA,1700370079
208,quellon,-43.1167,-73.6167,45.07,98,100,3.36,CL,1700370080
209,cozumel,20.5083,-86.9458,77.95,82,20,3.8,MX,1700370028
210,sakon nakhon,17.3333,103.8333,78.71,39,17,5.86,TH,1700370081
211,zara,44.1197,15.2422,36.21,87,0,4.61,HR,1700370081
212,alaghsas,17.0187,8.0168,71.19,24,93,10.22,NE,1700370082
213,thunder bay,48.4001,-89.3168,33.78,59,100,6.91,CA,1700369825
214,red deer,52.2668,-113.802,38.59,86,0,4.61,CA,1700370078
215,katsuura,35.1333,140.3,62.35,59,21,5.84,JP,1700370083
216,nar'yan-mar,67.6713,53.087,5.11,97,62,8.01,RU,1700370084
